Student_ID,Age,Gender,Study_Hours,Sleep_Hours,Screen_Time,Physical_Activity,Social_Interaction,Academic_Pressure,Mood,Stress_Level,Anxiety_Level,Meditation,Mental_Health_Score
97,25,Male,10,5,5,3,1,Low,Anxious,10,1,No,30
98,22,Male,10,3,5,2,1,Low,Sad,7,2,No,10
99,18,Male,8,5,10,3,4,Medium,Anxious,7,7,No,30
100,22,Male,9,5,10,0,1,High,Anxious,4,7,No,0
101,21,Female,5,7,10,1,3,High,Neutral,4,8,No,35
102,19,Male,6,5,12,2,3,Low,Sad,1,5,Yes,55
103,25,Male,7,4,12,0,0,Medium,Anxious,6,4,Yes,-10
104,22,Male,6,7,5,0,4,Low,Anxious,4,4,Yes,50
105,24,Female,10,9,8,2,3,Medium,Anxious,3,10,Yes,60
106,21,Male,10,8,4,2,2,Medium,Happy,5,10,Yes,35
107,22,Male,9,7,10,2,0,High,Happy,4,2,No,60
108,24,Female,1,8,2,1,3,Medium,Happy,10,5,No,30
109,21,Male,8,3,6,0,0,Low,Happy,4,2,No,0
110,24,Male,5,4,11,0,0,Low,Happy,3,10,No,-25
111,18,Male,3,5,2,1,1,Low,Anxious,8,6,No,-5
112,21,Female,10,3,3,0,4,High,Happy,5,3,Yes,10
113,20,Male,9,4,8,1,2,Low,Happy,1,4,No,35
114,24,Male,9,4,4,2,2,Low,Sad,6,2,No,30
115,23,Female,5,9,7,1,5,Low,Anxious,4,9,No,60
116,19,Male,1,9,11,1,4,Low,Happy,5,2,No,85
117,21,Male,4,6,10,1,2,Medium,Neutral,4,3,Yes,45
118,19,Female,6,6,12,1,1,Low,Anxious,6,5,Yes,20
119,18,Male,9,9,9,0,5,Low,Sad,2,1,Yes,100
120,25,Male,10,8,8,1,1,Low,Neutral,10,3,No,30
121,23,Female,10,8,11,0,4,High,Anxious,1,1,No,90
122,21,Female,2,6,6,0,5,Medium,Happy,4,4,No,45
123,24,Female,2,5,10,1,3,High,Happy,5,7,No,15
124,24,Male,10,7,10,1,3,Low,Happy,9,9,No,5
125,19,Female,3,9,9,1,2,Low,Happy,6,3,No,65
126,24,Male,7,3,4,3,4,Medium,Neutral,6,10,Yes,0
127,20,Female,10,8,7,3,1,Low,Sad,5,5,No,65
128,25,Male,8,4,11,2,1,Medium,Sad,5,4,Yes,20
129,22,Female,2,8,7,0,1,High,Sad,7,1,Yes,45
130,21,Female,1,8,10,2,4,Medium,Sad,10,4,No,50
131,21,Male,8,9,7,2,2,Low,Neutral,4,2,Yes,90
132,23,Female,9,9,2,3,4,Medium,Neutral,5,8,Yes,75
133,19,Female,2,7,11,2,5,High,Happy,9,8,Yes,30
134,25,Male,7,9,12,0,5,Low,Anxious,2,3,Yes,90
135,19,Female,3,7,7,0,5,High,Sad,7,10,Yes,10
136,23,Male,2,9,7,2,1,Low,Sad,10,4,No,45
137,23,Male,4,5,2,2,4,Low,Happy,9,7,Yes,10
138,23,Female,10,4,5,3,5,Low,Neutral,10,3,No,30
139,20,Female,6,3,8,3,4,Medium,Anxious,6,5,No,25
140,18,Male,9,8,7,3,5,High,Anxious,10,6,Yes,55
141,22,Male,10,4,5,1,1,High,Anxious,6,6,Yes,-5
142,19,Female,7,3,9,2,4,Medium,Sad,9,1,Yes,20
143,23,Male,5,4,10,0,0,High,Anxious,6,1,Yes,5
144,18,Male,8,5,8,0,1,Medium,Neutral,5,1,Yes,25
145,22,Female,1,7,11,1,4,Low,Anxious,6,1,Yes,65
146,18,Male,6,3,4,1,4,Low,Happy,2,4,No,30
147,20,Female,1,7,11,2,3,Medium,Sad,5,10,Yes,30
148,23,Male,7,7,5,3,1,Low,Anxious,9,5,Yes,35
149,19,Male,5,9,6,0,2,Medium,Anxious,6,4,Yes,50
150,22,Female,7,7,8,2,0,Medium,Sad,9,6,No,15
151,19,Male,5,4,10,1,1,Low,Neutral,7,1,Yes,15
152,21,Female,2,5,3,3,0,Low,Happy,6,3,No,35
153,22,Male,10,4,9,3,1,Low,Neutral,10,4,Yes,5
154,23,Male,1,8,5,0,5,Medium,Sad,1,8,No,60
155,24,Male,10,8,5,0,5,High,Sad,7,2,Yes,60
156,25,Male,7,3,11,3,2,High,Happy,5,10,No,-5
157,25,Male,4,4,7,3,0,Low,Neutral,10,4,Yes,0
158,18,Male,6,6,2,1,5,High,Happy,7,5,No,35
159,23,Female,8,6,3,0,5,Low,Sad,1,1,No,75
160,20,Male,5,5,7,3,5,Medium,Happy,6,4,Yes,55
161,20,Male,5,5,10,0,0,Low,Happy,4,1,Yes,25
162,18,Male,9,3,12,3,3,High,Happy,6,1,No,40
163,18,Male,3,9,8,1,1,Low,Happy,8,6,Yes,35
164,23,Female,4,5,12,0,4,Low,Neutral,2,7,Yes,25
165,24,Female,4,6,8,0,4,High,Happy,3,4,Yes,45
166,23,Male,4,9,8,2,0,Medium,Neutral,9,3,No,50
167,25,Male,8,9,3,3,5,Low,Sad,4,4,Yes,105
168,22,Male,2,8,12,2,1,Low,Happy,5,6,Yes,50
169,25,Male,3,9,12,1,5,High,Happy,6,3,Yes,80
170,21,Male,2,4,6,0,0,Low,Happy,7,10,No,-45
171,25,Male,10,3,10,1,0,Medium,Neutral,2,1,No,25
172,22,Female,6,4,12,2,3,Medium,Anxious,3,8,Yes,20
173,18,Male,6,4,2,2,1,Low,Happy,10,3,No,0
174,24,Male,5,4,4,2,1,Low,Neutral,10,3,No,0
175,23,Female,3,4,11,0,5,High,Anxious,3,8,Yes,10
176,18,Male,9,9,8,0,4,Medium,Happy,2,9,Yes,55
177,20,Male,9,8,3,0,4,Medium,Happy,3,8,Yes,45
178,24,Male,1,3,12,2,5,High,Neutral,9,1,No,25
179,25,Male,10,5,4,1,1,High,Sad,8,7,No,-10
180,18,Female,5,4,8,2,1,High,Happy,5,4,Yes,20
181,22,Female,1,3,11,2,2,High,Anxious,7,8,No,-15
182,20,Female,1,4,9,3,2,High,Happy,10,8,No,-10
183,21,Male,1,6,12,3,5,Low,Happy,2,8,No,65
184,22,Male,3,8,9,1,1,Medium,Happy,10,6,Yes,15
185,21,Female,8,4,8,1,1,Low,Sad,9,6,Yes,-20
186,18,Female,10,8,10,1,2,Low,Anxious,1,3,No,80
187,18,Male,8,3,6,1,0,High,Anxious,8,9,No,-45
188,24,Female,6,3,8,0,2,High,Sad,4,2,Yes,10
189,23,Male,3,3,11,1,1,High,Sad,7,7,Yes,-25
190,18,Female,9,4,7,0,5,High,Happy,3,7,Yes,15
191,24,Female,9,6,3,1,2,High,Neutral,4,2,Yes,50
192,25,Female,8,4,10,1,4,Medium,Anxious,2,4,Yes,40
193,24,Female,4,8,12,1,1,Medium,Sad,7,1,Yes,55
194,22,Male,2,7,3,1,2,Medium,Neutral,8,8,No,10
195,24,Male,1,8,10,3,4,Low,Anxious,8,9,No,45
196,19,Male,4,9,9,2,1,Medium,Happy,9,2,No,60
197,21,Female,9,9,7,2,1,Medium,Neutral,5,8,Yes,50
198,18,Male,8,9,12,1,5,High,Anxious,7,2,Yes,80
199,24,Male,8,3,11,2,2,High,Anxious,10,1,No,5
200,19,Male,4,9,7,2,0,Low,Happy,4,6,No,60
